Date,FR10,FRB0,FRC1,FRC2,FRD1,FRD2,FRE1,FRE2,FRF1,FRF2,FRF3,FRG0,FRH0,FRI1,FRI2,FRI3,FRJ1,FRJ2,FRK1,FRK2,FRL0
2017-07-30,292.448414583333,291.847996666667,292.747669583333,293.501475416667,289.8061775,290.705775833333,291.108939583333,291.75696375,294.554718333333,292.881244583333,293.561420833333,290.446877083333,289.06563875,291.457307083333,289.56165625,290.94258,293.605749583333,291.685563333333,289.97821,291.730602083333,293.027727083333
2017-07-31,291.010719583333,291.275819583333,292.561197916667,292.749910416667,288.278378333333,289.372045833333,290.314341666667,290.42526625,294.118879583333,292.268317916667,293.332182083333,290.07746625,287.961835833333,292.804695416667,290.607255416667,291.42294375,294.56555125,292.922705833333,291.169674166667,292.108625833333,293.382654166667
2017-08-01,289.708368333333,290.512422083333,291.4367325,291.238144166667,288.1771875,288.782527083333,288.97779625,289.174298333333,291.806682916667,289.9271325,290.414654583333,289.544799166667,288.294522083333,293.095808333333,290.167989583333,291.654920833333,294.237725416667,292.13595375,290.466425,292.273915833333,294.885873333333
2017-08-02,289.150604166667,290.001866666667,289.8446875,288.989834166667,289.309745833333,288.79076375,289.081847083333,289.007925833333,288.92737625,288.560530416667,287.779662916667,290.574803333333,290.26527125,292.52783875,289.382795833333,291.643177083333,292.7614925,290.913327916667,288.94111375,289.518995833333,293.273819583333
2017-08-03,290.774748333333,291.352727916667,289.868952916667,288.2954375,290.868316666667,290.098434583333,289.911764583333,290.21717,288.21562625,289.623814166667,288.544430416667,291.648517083333,291.177300833333,292.4277275,289.623946666667,291.875420833333,292.111884583333,290.464704166667,288.369655,287.599509583333,291.3207575
2017-08-04,290.702019583333,290.9361675,290.930767916667,290.093525416667,290.3432775,290.211036666667,290.866619583333,290.928585833333,289.993249166667,290.74568875,290.302015,291.256330833333,290.823998333333,292.155254583333,289.60151625,291.128083333333,292.923339583333,291.006005833333,289.663400833333,289.28195875,292.07332125
2017-08-05,291.8387,292.249616666667,292.351978333333,291.831623333333,290.031512916667,290.21524125,290.6534875,291.055113333333,291.64999125,291.238164583333,290.833208333333,291.599335416667,289.81356375,293.70651375,291.06266625,292.503277916667,295.379385,293.514688333333,291.806364583333,292.594649583333,294.209710416667
2017-08-06,292.195199583333,292.168589166667,292.172207916667,291.91539125,290.715297083333,290.828345,290.305635416667,291.28122875,291.817457916667,291.31983875,290.730352083333,291.612862083333,290.775677916667,294.514805833333,290.92108375,292.452561666667,296.046104166667,293.995930416667,291.82277125,292.996752083333,295.483857916667
2017-08-07,295.406352916667,294.65385625,295.09167125,294.136244583333,293.136475,294.124455,293.844664583333,295.126880833333,294.402600833333,294.957949583333,294.507254583333,293.66003625,292.12130875,296.2342325,293.050265833333,294.2042325,296.216660833333,295.722923333333,293.624737916667,293.591549166667,294.491414583333
2017-08-08,294.732995833333,294.70141875,294.49247,295.025589166667,291.523815416667,292.295539166667,292.511388333333,293.726615833333,295.643748333333,294.840360416667,294.91725125,292.640369166667,290.399228333333,295.520218333333,292.929184583333,294.080559583333,295.722222916667,295.689197083333,293.476595,294.253087083333,294.47100875
2017-08-09,292.435095833333,292.25998625,293.741068333333,294.846159583333,290.177199583333,290.47029375,291.001118333333,291.9508175,294.934492916667,292.624837083333,293.452138333333,291.63612875,289.7884075,294.571488333333,293.032450833333,292.75123625,296.265505833333,295.879461666667,294.59090125,295.723720416667,296.597885
2017-08-10,292.82164875,293.565913333333,293.664845833333,295.829121666667,290.688989583333,290.763450416667,290.778819583333,291.758974583333,295.71645875,292.136425833333,293.107070416667,292.1711075,290.06294875,294.898258333333,293.000842083333,293.761800833333,296.277518333333,295.1758675,293.876298333333,296.376905416667,297.294556666667
2017-08-11,295.025721666667,295.829195,297.091164166667,297.207838333333,291.6736975,291.573359166667,290.710284166667,292.222821666667,296.639148333333,295.321447916667,295.350277083333,293.356342083333,291.361417083333,297.261244583333,296.043485416667,295.013605833333,297.949304166667,297.734452916667,296.677585833333,297.605291666667,297.553903333333
2017-08-12,295.01562125,295.143457916667,297.015362083333,298.50616375,292.195532916667,292.857940833333,292.417824583333,294.008625833333,297.6037025,295.4410525,295.90808,293.421243333333,291.525302916667,296.58232625,294.516740833333,294.36263125,298.359015416667,297.16165,296.279054583333,298.552095416667,297.813165416667
