Date,FR10_TA,FRB0_TA,FRC1_TA,FRC2_TA,FRF2_TA,FRF3_TA,FRG0_TA,FRH0_TA,FRI1_TA,FRI2_TA,FRI3_TA,FRJ2_TA,FRK1_TA,FRK2_TA
2020-11-24,284.92193419444453,285.3614506944444,284.8246853333333,283.6062062361112,284.5967116388889,283.8782577361111,285.57036643055545,285.3231130277779,286.66195497222213,284.65112179166675,286.0034568749999,284.9651405138889,283.6491064166666,282.35757193055554
2020-11-25,284.98018000000013,285.38496954166663,284.82150580555555,283.57102116666664,284.6247442083333,283.9099635555556,285.6179031666666,285.4185984305557,286.6604373194444,284.66370644444453,285.9959047222221,284.9983066666666,283.6576848611111,282.3438695555556
2020-11-26,285.0117188194445,285.40936576388884,284.81961170833335,283.5813403055556,284.6312492083333,283.9039398194445,285.6288468055555,285.4196950277779,286.6330989722221,284.69537619444446,286.0017366111111,284.9957983472222,283.6952888055555,282.34635058333333
2020-11-27,284.8950724444445,285.24088209722225,284.6734433194444,283.4372799444445,284.50753522222215,283.7747826388889,285.4040569444444,285.18847683333337,286.43663741666666,284.4917812916667,285.8104094583333,284.7880902777778,283.511750111111,282.18574661111114
2020-11-28,284.5078088194445,284.8194086388889,284.26709922222227,283.0713996250001,284.0825288472222,283.3501775555555,285.08077274999994,284.9563114027778,285.9938296666666,284.0418000833334,285.3934519722222,284.3893024027778,283.105181861111,281.8573544583333
2020-11-29,284.15934469444454,284.40883629166666,283.782884888889,282.6233535833334,283.62635218055556,282.8412353055556,284.7845837222222,284.8139836805556,285.5745924861111,283.60694268055556,284.99140406944446,283.95759259722223,282.63221284722215,281.4722811666667
2020-11-30,283.85653009722233,284.073822625,283.36359279166675,282.2060446944445,283.26828449999994,282.4558058888889,284.5396962499999,284.6796691666667,285.2479768611111,283.2861794027778,284.6616624305555,283.6451316944445,282.28675569444437,281.1355825416667
2020-12-01,283.673204263889,283.80548016666665,283.02210106944443,281.8789156805556,283.02504024999996,282.2035175138889,284.29129149999994,284.51230670833337,284.9696637083333,283.04414775000004,284.3676118472222,283.41208838888895,282.0458288333332,280.8799738611111
2020-12-02,283.48365609722237,283.59857309722224,282.69335869444444,281.50487468055564,282.7554789444444,281.9185278333333,284.13446026388885,284.4473672916667,284.7940053611111,282.8931994583334,284.19542799999994,283.2337229305556,281.8282879722221,280.61301563888895
2020-12-03,283.38287352777786,283.53641583333336,282.5336228333334,281.33380141666674,282.5917732083333,281.7661364027778,284.10961698611106,284.4730205972223,284.76540997222224,282.92291279166676,284.18029706944435,283.2527931111111,281.8136431666665,280.5290849444445
2020-12-04,283.2223850138889,283.46092973611115,282.4237165833334,281.1537180972222,282.43585420833335,281.5994528333333,284.00219776388883,284.37185875,284.7172057777778,282.95246586111114,284.14291791666653,283.2564325555556,281.80594679166654,280.48039945833335
2020-12-05,283.02905575000017,283.3327967222222,282.25225820833344,280.91272158333334,282.2156436249999,281.35245883333334,283.8824214722221,284.2685890416667,284.6436250972222,282.89370912500004,284.0473659027777,283.2172081111112,281.7070297083332,280.32911302777785
2020-12-06,282.78696491666676,283.1211523472222,281.9912061805556,280.63506859722224,281.9690559444444,281.0880509861111,283.7237816666666,284.15633570833336,284.55894845833336,282.78022606944444,283.92357375,283.1553119166667,281.5135530277776,280.12673338888897
2020-12-07,282.4051272777779,282.7881737083333,281.6349307500001,280.30300923611117,281.5804965138888,280.6942363333334,283.46208449999995,283.94674686111114,284.43097868055554,282.5421528472222,283.7017723333332,283.0380502916667,281.196436111111,279.85434279166674
2020-12-08,282.0054159583334,282.3883518888889,281.26527720833343,279.9716519444445,281.1230980277777,280.25222633333334,283.13590437499994,283.7252374861111,284.1217337916667,282.18805680555556,283.3219919999999,282.79895001388894,280.8427449305554,279.5513253333334
2020-12-09,281.6853649861112,282.0378654861112,280.8842304305556,279.5536314027778,280.76890640277776,279.85488094444446,282.8321581944444,283.47726016666667,283.7493209722222,281.81336284722227,282.9805777083332,282.4738115833334,280.46759468055546,279.22034663888894
2020-12-10,281.36395030555565,281.69013605555557,280.4473148472223,279.04754459722227,280.3543578055555,279.3470522638889,282.52480988888885,283.2609153888889,283.3699852222222,281.43182827777775,282.6210685972222,282.0976151388889,280.04700784722206,278.8215099305556
2020-12-11,281.29446954166673,281.62228625,280.27099322222233,278.7905888333334,280.20838290277777,279.13503645833333,282.4839860972222,283.2225801944444,283.2586425833333,281.2929926527778,282.55594898611105,281.9334189027778,279.87075655555543,278.56066918055564
2020-12-12,281.28230605555564,281.598160125,280.22938908333344,278.68308694444454,280.1983880416666,279.11080484722225,282.4192378888889,283.1193782499999,283.18369526388886,281.22768526388893,282.50511624999996,281.8255775972222,279.7922378333332,278.4010994027778
2020-12-13,281.2135183333334,281.4992485,280.0671586250001,278.4797964027778,280.1022363055555,279.0202598055556,282.32538199999993,283.0540189861111,283.0564581805556,281.0673722361111,282.3967355416666,281.6042497222223,279.6028281666666,278.1280855416668
2020-12-14,281.09628180555563,281.35446929166665,279.86013990277786,278.24947447222235,279.90736587500004,278.8762678333333,282.1693721111111,282.9184303472222,282.77139409722224,280.7712931666667,282.1799375694444,281.2696260694445,279.31371768055544,277.83947843055563
2020-12-15,280.79581255555564,281.0547853472222,279.5533234027779,278.00856016666677,279.59594109722224,278.65101209722224,281.82272954166666,282.5704866666666,282.4482760833334,280.37009536111117,281.8083750277777,280.89988561111113,278.94866769444434,277.5065449444445
2020-12-16,280.4083763055557,280.6865692638888,279.2030383472223,277.71281470833344,279.2511048888889,278.3693297777778,281.46487915277777,282.2556617777777,282.1453265277778,280.00635308333335,281.4503861805555,280.58808491666673,278.59573229166654,277.2036149861112
2020-12-17,280.0465615694445,280.3507167638889,278.8688014722223,277.38573547222234,278.88698073611107,278.0168386388889,281.131430875,281.99461938888885,281.86973087499996,279.6746926388889,281.1315282916666,280.2855443055556,278.2644701249999,276.8949763611111
2020-12-18,279.78665797222226,280.13370979166666,278.57184861111114,277.060643388889,278.5811265972223,277.72335000000004,280.993847625,281.90533866666664,281.7610073333333,279.463139875,281.00640781944435,280.1000440138889,278.006592111111,276.5581833194445
2020-12-19,279.7044684444445,280.08771387499996,278.4526072638889,276.8776986111112,278.4156359305556,277.5230452777778,280.9632592638889,281.849897,281.7434873055555,279.40512734722233,280.9957829583333,280.0350769166667,277.9259806666666,276.3199298611111
2020-12-20,279.6221042083334,279.9640940972222,278.3614956111112,276.74599030555567,278.3418396388889,277.44978873611115,280.85537466666665,281.7482074444444,281.6218989444444,279.2404802361112,280.84228112499994,279.90637148611114,277.7750912083332,276.1675494027778
